"sale_month";"monthly_revenue";"previous_month_revenue";"revenue_diff_vs_previous"
"2022-01-01 00:00:00";2637844.5;2637844.5;0.0
"2022-02-01 00:00:00";2710824.5;2637844.5;72980.0
"2022-03-01 00:00:00";2686532.8;2710824.5;-24291.75
"2022-04-01 00:00:00";2597112.8;2686532.8;-89420.0
"2022-05-01 00:00:00";2807939.2;2597112.8;210826.5
"2022-06-01 00:00:00";3166340.5;2807939.2;358401.25
"2022-07-01 00:00:00";3805571.2;3166340.5;639230.75
"2022-08-01 00:00:00";3066435.5;3805571.2;-739135.75
"2022-09-01 00:00:00";2750292.2;3066435.5;-316143.25
"2022-10-01 00:00:00";2704781.2;2750292.2;-45511.0
"2022-11-01 00:00:00";3000713.8;2704781.2;295932.5
"2022-12-01 00:00:00";3274580.0;3000713.8;273866.25
"2023-01-01 00:00:00";2835327.2;3274580.0;-439252.75
"2023-02-01 00:00:00";2584152.2;2835327.2;-251175.0
"2023-03-01 00:00:00";2697720.5;2584152.2;113568.25
"2023-04-01 00:00:00";2653224.0;2697720.5;-44496.5
"2023-05-01 00:00:00";2865421.5;2653224.0;212197.5
"2023-06-01 00:00:00";3096721.2;2865421.5;231299.75
"2023-07-01 00:00:00";3827569.0;3096721.2;730847.75
"2023-08-01 00:00:00";3035745.0;3827569.0;-791824.0
"2023-09-01 00:00:00";2829690.8;3035745.0;-206054.25
"2023-10-01 00:00:00";2759851.0;2829690.8;-69839.75
"2023-11-01 00:00:00";2898608.2;2759851.0;138757.25
"2023-12-01 00:00:00";3289178.8;2898608.2;390570.5
