"country_t";"shop_id";"shop_address";"total_sales_count";"total_sales_amount";"country_total_amount";"country_sales_share";"country_rank";"country_running_total"
France;45;SHOP0045 Roberson Passage;44169;4622939.5;29382064;0.1573386518;1;4622939.5
France;49;SHOP0049 Victor Hill;44239;2880393.0;29382064;0.0980321352;2;7503332.5
France;41;SHOP0041 Thomas Streets;38231;2609210.2;29382064;0.0888027064;3;10112543
France;46;SHOP0046 Eric Villages;37762;2413026.2;29382064;0.0821258521;4;12525569
France;43;SHOP0043 Samuel Hills;31555;2340947.8;29382064;0.0796726578;5;14866517
France;36;SHOP0036 Joseph Walk;24800;2190879.0;29382064;0.0745651264;6;17057396
France;39;SHOP0039 Jones Manors;18905;1799461.0;29382064;0.0612434101;7;18856856
France;42;SHOP0042 Michele Plains;19143;1683817.4;29382064;0.0573076805;8;20540674
France;38;SHOP0038 Thomas Crest;31419;1631320.6;29382064;0.0555208784;9;22171994
France;44;SHOP0044 Matthew Shore;18648;1303133.1;29382064;0.0443511526;10;23475128
France;34;SHOP0034 Pamela Stream;18631;1246613.5;29382064;0.0424275324;11;24721742
France;35;SHOP0035 William Roads;18690;1240701.5;29382064;0.0422263895;12;25962444
France;40;SHOP0040 Hernandez Trace;12719;853187.5;29382064;0.0290376794;13;26815632
France;37;SHOP0037 Tyler Union;18916;800459.5;29382064;0.0272431174;14;27616092
France;47;SHOP0047 Dunn Squares;31397;663785.9;29382064;0.0225915098;15;28279878
France;48;SHOP0048 Myers Springs;12577;655151.6;29382064;0.0222976574;16;28935030
France;50;SHOP0050 Jordan Spurs;12684;447033.62;29382064;0.0152145013;17;29382064
Germany;12;SHOP0012 Horn Points;50257;6991020.0;70582184;0.0990479186;1;6991020.0
Germany;23;SHOP0023 Rush Manors;62864;6028841.5;70582184;0.0854158697;2;13019862
Germany;26;SHOP0026 Murray Path;44429;4581599.5;70582184;0.0649115499;3;17601462
Germany;27;SHOP0027 Karen Falls;43990;3728577.8;70582184;0.0528260666;4;21330040
Germany;22;SHOP0022 Baker Via;37740;3409900.5;70582184;0.0483110473;5;24739940
