"product_name";"total_revenue";"avg_sales"
Probiotic Kefir Premium;670349.1;173.75548213105426
Ginger Shot Premium #35;641427.06;165.48678799777824
Raspberries Classic #33;636395.56;165.04054528672665
Kombucha Classic;636296.94;160.235711459638
Apple Juice Cloudy Small Pack #17;612397.1;155.5096595818891
Ginger Shot Premium #20;608964.25;152.54599928712557
Apple Juice Cloudy Premium;598046.6;146.97637998457182
Shrimp Cleaned Family Pack;593417.3;151.73025580605898
Cold Pressed Orange Juice Family Pack;588785.4;149.02202794715382
Turkey Fillet Family Pack;581474.8;145.36892996382713
